Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:42:04,24.67,25.03,24.25,16.12,16.35,24.25
12:42:05,23.93,24.04,24.75,16.58,16.90,24.00
12:42:06,24.66,24.78,24.75,17.41,17.58,24.50
12:42:07,24.67,24.79,24.75,17.41,17.49,24.75
12:42:08,24.66,24.66,25.00,17.41,17.58,24.50
12:42:09,24.67,24.67,25.00,16.97,17.13,24.50
12:42:10,24.67,24.67,25.00,16.97,17.22,24.25
12:42:11,24.66,24.66,25.00,16.96,17.21,24.25
12:42:12,24.66,24.78,24.75,16.57,16.73,24.50
12:42:13,24.67,24.67,25.00,16.13,16.28,24.50
12:42:14,25.41,25.41,25.00,16.13,16.28,24.50
12:42:15,24.67,24.79,24.75,16.57,16.81,24.25
12:42:16,25.41,25.53,24.75,16.58,16.82,24.25
12:42:17,24.67,24.79,24.75,16.57,16.73,24.50
12:42:18,25.41,25.53,24.75,16.96,17.12,24.50
12:42:19,25.41,25.41,25.00,16.96,17.21,24.25
12:42:20,25.41,25.53,24.75,16.57,16.81,24.25
12:42:21,25.41,25.53,24.75,16.57,16.73,24.50
12:42:22,26.06,25.94,25.25,16.97,17.22,24.25
12:42:23,25.41,25.53,24.75,17.41,17.41,25.00
12:42:24,25.41,25.41,25.00,16.58,16.74,24.50
12:42:25,26.06,26.18,24.75,16.57,16.65,24.75
12:42:26,26.06,26.06,25.00,16.12,16.27,24.50
12:42:27,26.06,26.18,24.75,16.57,16.81,24.25
12:42:28,26.06,26.06,25.00,16.57,16.73,24.50
12:42:29,26.80,26.67,25.25,17.40,17.57,24.50
12:42:30,26.80,26.93,24.75,16.57,16.81,24.25
12:42:31,26.80,26.93,24.75,16.96,17.04,24.75
12:42:32,26.80,26.80,25.00,16.12,16.35,24.25
12:42:33,26.80,26.93,24.75,16.57,16.73,24.50
12:42:34,26.80,26.93,24.75,15.67,15.74,24.75
12:42:35,26.06,26.18,24.75,16.12,16.27,24.50
12:42:36,26.80,26.93,24.75,16.13,16.28,24.50
12:42:37,26.06,26.06,25.00,16.57,16.73,24.50
12:42:38,26.06,26.06,25.00,16.96,17.04,24.75
12:42:39,26.80,26.80,25.00,16.57,16.73,24.50
12:42:39,26.06,26.06,25.00,17.41,17.49,24.75
12:42:41,27.54,27.54,25.00,16.96,17.21,24.25
12:42:41,28.29,28.29,25.00,16.96,17.12,24.50
12:42:42,28.28,28.28,25.00,17.41,17.58,24.50
12:42:43,27.54,27.80,24.50,17.40,17.48,24.75
12:42:44,26.80,26.93,24.75,17.40,17.65,24.25
12:42:45,26.80,26.93,24.75,17.41,17.58,24.50
12:42:46,28.28,28.15,25.25,16.57,16.65,24.75
12:42:47,26.80,26.80,25.00,16.96,17.04,24.75
12:42:48,28.28,28.41,24.75,17.40,17.65,24.25
12:42:49,28.28,28.41,24.75,17.40,17.82,23.75
12:42:50,26.80,26.80,25.00,17.40,17.57,24.50
12:42:51,27.54,27.94,24.25,18.29,18.55,24.25
12:42:52,27.54,27.54,25.00,17.86,18.03,24.50
12:42:53,28.28,28.15,25.25,16.96,17.21,24.25
12:42:54,27.54,27.41,25.25,17.40,17.65,24.25
12:42:55,26.80,26.80,25.00,16.96,17.21,24.25
12:42:56,27.54,27.67,24.75,17.40,17.48,24.75
12:42:57,27.54,27.80,24.50,17.40,17.57,24.50
12:42:58,28.28,28.41,24.75,17.40,17.40,25.00
12:42:59,28.28,28.41,24.75,17.40,17.57,24.50
12:43:00,27.54,27.41,25.25,17.40,17.57,24.50
12:43:01,28.28,28.28,25.00,18.29,18.38,24.75
12:43:02,28.28,28.41,24.75,17.85,17.85,25.00
12:43:03,28.28,28.41,24.75,16.95,17.11,24.50
12:43:04,28.28,28.28,25.00,17.40,17.48,24.75
12:43:05,28.28,28.41,24.75,17.40,17.57,24.50
12:43:06,28.28,28.41,24.75,16.96,16.96,25.00
12:43:07,29.02,29.16,24.75,17.40,17.57,24.50
12:43:08,27.54,27.67,24.75,17.40,17.48,24.75
12:43:09,27.54,27.67,24.75,17.40,17.48,24.75
12:43:10,28.28,28.41,24.75,17.39,17.47,24.75
12:43:11,26.80,27.19,24.25,17.41,17.49,24.75
12:43:12,28.27,28.40,24.75,17.41,17.66,24.25
12:43:13,28.27,28.40,24.75,17.85,17.85,25.00
12:43:14,26.79,26.79,25.00,17.39,17.64,24.25
12:43:15,26.80,26.93,24.75,16.96,17.04,24.75
12:43:16,28.28,28.69,24.25,17.41,17.41,25.00
12:43:17,28.27,28.54,24.50,17.84,18.10,24.25
12:43:18,27.54,27.67,24.75,18.29,18.47,24.50
